Time (minute),Room Temperature (°C),AC Modulation (%)
0,25.200499999999998,100
1,24.20097995,24.009999999999962
2,24.201079902005,4.019599000000014
3,24.2010798920098,4.021598040099974
4,24.2010798920108,4.021597840196023
5,24.2010798920108,4.021597840215989
6,24.2010798920108,4.021597840215989
7,24.2010798920108,4.021597840215989
8,24.2010798920108,4.021597840215989
9,24.2010798920108,4.021597840215989
10,24.2010798920108,4.021597840215989
11,24.2010798920108,4.021597840215989
12,24.2010798920108,4.021597840215989
13,24.2010798920108,4.021597840215989
14,24.2010798920108,4.021597840215989
15,24.2010798920108,4.021597840215989
16,24.2010798920108,4.021597840215989
17,24.2010798920108,4.021597840215989
18,24.2010798920108,4.021597840215989
19,24.2010798920108,4.021597840215989
20,24.2010798920108,4.021597840215989
21,24.2010798920108,4.021597840215989
22,24.2010798920108,4.021597840215989
23,24.2010798920108,4.021597840215989
24,24.2010798920108,4.021597840215989
25,24.2010798920108,4.021597840215989
26,24.2010798920108,4.021597840215989
27,24.2010798920108,4.021597840215989
28,24.2010798920108,4.021597840215989
29,24.2010798920108,4.021597840215989
30,24.2010798920108,4.021597840215989
31,24.2010798920108,4.021597840215989
32,24.2010798920108,4.021597840215989
33,24.2010798920108,4.021597840215989
34,24.2010798920108,4.021597840215989
35,24.2010798920108,4.021597840215989
36,24.2010798920108,4.021597840215989
37,24.2010798920108,4.021597840215989
38,24.2010798920108,4.021597840215989
39,24.2010798920108,4.021597840215989
40,24.2010798920108,4.021597840215989
41,24.2010798920108,4.021597840215989
42,24.2010798920108,4.021597840215989
43,24.2010798920108,4.021597840215989
44,24.2010798920108,4.021597840215989
45,24.2010798920108,4.021597840215989
46,24.2010798920108,4.021597840215989
47,24.2010798920108,4.021597840215989
48,24.2010798920108,4.021597840215989
49,24.2010798920108,4.021597840215989
50,24.2010798920108,4.021597840215989
51,24.2010798920108,4.021597840215989
52,24.2010798920108,4.021597840215989
53,24.2010798920108,4.021597840215989
54,24.2010798920108,4.021597840215989
55,24.2010798920108,4.021597840215989
56,24.2010798920108,4.021597840215989
57,24.2010798920108,4.021597840215989
58,24.2010798920108,4.021597840215989
59,24.2010798920108,4.021597840215989
